Key,Summary
PD-775,Exercise Band
PD-776,The user shall be informed that an exercise band will be needed to perform the exercise.
PD-780,Possible usage of an exercise band shall be demonstrated by the avatar.
PD-779,Exercise Weights
PD-781,The user shall be informed that exercise weights will be needed to perform the exercise.
PD-782,Visual representation of exercise weights shall be provided.
PD-777,Chair Needed
PD-783,The user shall be informed that a chair will be needed to perform the exercise.
PD-784,Visual representation of a chair shall be provided.
PD-778,Ankle Weights
PD-785,The user shall be informed that ankle weights will be needed to perform the exercise.
PD-786,Visual representation of ankle weights shall be provided.
PD-907,Towel Needed
PD-908,The user shall be informed that a towel will be needed to perform the exercise.
PD-909,Visual representation of a towel shall be provided.
PD-718,Motion Tutorial
PD-926,The Motion Tutorial screen shall appear prior to exercise execution of an assigned exercise.
PD-927,An onscreen avatar shall provide the following information regarding the assigned exercise:
PD-541,Proper orientation and stance the user should assume for exercise execution.
PD-848,Demonstration of safe and optimal execution of the assigned exercise.
PD-558,Verbal instruction regarding safe and optimal execution of the assigned exercise.
PD-1293,Therapy Section
PD-714,Exercise View
PD-849,"For motion-tracked exercises, the system shall use dynamic graphic displays to relay to the user their exercise-specific optimal spacial position relative to the Kinect sensor."
PD-850,"For motion-tracked exercises, the system shall notify the user when they are not oriented properly for optimal motion tracking."
PD-851,The system shall instruct the user how to return to an orientation that will allow for optimal motion tracking.
PD-1275,The user shall not be able to proceed with tracked exercises if they are not in the proper orientation.
PD-790,Body-Linked Props
PD-524,Body-Linked Props shall provide exercise orientation cues to the user.
PD-520,Rotation Meter:  A dynamic graphic feedback display shall be used to relay information to the user regarding their body's rotation relative to the Kinect sensor.
PD-542,"For motion-tracked exercises, a rotation meter shall show the direction the user should be facing as part of the orientation process."
PD-543,"For motion-tracked exercises, the Rotation Meter shall be displayed again if the user varies sufficiently far from the optimal exercise facing direction."
PD-1277,This in-exercise variation in optimal exercise facing direction shall be significantly further from the optimal exercise facing direction than the user is initially set to in the orientation process.
PD-1278,"Once the user is facing in the correct direction, the Rotation Meter shall disappear."
PD-555,Timer Meters shall be displayed for timed exercises.
PD-533,Timer Meters shall display the time remaining for a rep.
PD-744,Timer Meters shall display the rest time between repetitions.
PD-929,Feedback Circle
PD-932,The Feedback Circle shall appear under the user's silhouette during exercise execution.
PD-937,The Feedback Circle shall exist in two states:
PD-935,An 'Inactive State' shall indicate that the user is not being tracked or recognized by the Kinect.
PD-936,An 'Active State' shall indicate that the Kinect recognizes the user and their inputs.
PD-773,Pause Menu
PD-623,Pause Menu Initiation
PD-624,The Pause Menu shall be initiated if the user extends either arm at a 90 degree angle.
PD-625,The Pause Menu shall be initiated if the user selects the Pause button on the touchscreen.
PD-181,Pause Menu Navigation
PD-581,All available options shall be available in a menu format.
PD-583,The user is able to make a selection with either selecting the option on the touchscreen or by hovering over the option with the hand gesture.
PD-584,"The user can exit the Pause Menu and resume exercise execution by selecting the ""Continue"" button."
PD-592,The Pause Menu shall provide the following functions to the user:
PD-593,Report Reps (Free Motion exercises only)
PD-600,The user is able to report the number of repetitions completed.
PD-594,Report Pain
PD-619,The user is able to report the level of pain they are experiencing.
PD-620,"Following pain level selection, the user shall be prompted to determine if they wish to continue with the exercise session."
PD-621,"If the user wishes to continue, they will be directed back to the Pause Menu."
PD-622,"If the user does not wish to continue, they will be directed to the Home screen."
PD-741,The user shall be alerted that any repetitions completed for the skipped exercise shall not be counted for their exercise session.
PD-595,Continue
PD-602,The Pause Menu is dismissed and exercise execution is resumed.
PD-597,Skip Tutorial
PD-605,This option shall only be available during the tutorial phase.
PD-606,The tutorial will be skipped and user shall be directed into the exercise execution phase.
PD-598,Next Exercise
PD-607,The user shall be prompted to confirm they wish to skip to the next exercise.
PD-599,"If the user confirms they wish to skip the current exercise, they will be directed to the next exercise, provided they have one remaining in their plan."
PD-742,The user shall be alerted that any repetitions completed for the skipped exercise shall not be counted for their exercise session.
PD-608,"If the user does not wish to skip the current exercise, they will be directed back to the Pause Menu."
PD-609,Logout
PD-610,The user shall be prompted to confirm they wish to return to the Login screen.
PD-154,"If the user confirms they wish to return to the Login screen, they shall be directed to the Login screen."
PD-743,The user shall be alerted that any repetitions completed for the skipped exercise shall not be counted for their exercise session.
PD-611,"If the user does not wish to return to the Login screen, they shall be directed back to the Pause Menu."
PD-795,Free Motion Exercises
PD-684,Free Motion exercises shall not utilize the Kinect camera for rep counting.
PD-685,The Feedback Circle will not be shown.
PD-686,"The user shall be able to view their silhouette on the screen, although it won't correlate with exercise performance or orientation, as it does in tracked exercises."
PD-692,The Pause button shall be present throughout the exercise.
PD-687,The user shall be provided the following instruction before initiation of a Free Motion exercise:
PD-688,The user shall be informed that the next exercise will be a Free Motion exercise.
PD-689,The user shall be instructed to manually report the number of reps completed by accessing the Pause Menu.
PD-691,Initiate the Pause menu by performing the Pause gesture or selecting the Pause button on the touchscreen.
PD-732,Walk Off Behavior
PD-914,A boundary box shall provide a visual representation of the field of view of the Kinect camera.
PD-915,The user shall be alerted if they are in danger of stepping outside of the boundary box in tracked exercises.
PD-922,"If the user steps outside of the boundary box during a free motion exercise, the system shall be unaffected."
PD-921,"After the user returns to the defined boundary box, the system shall recalibrate to the user closest to the Kinect camera."
PD-798,Exercise Result Screen
PD-793,The Results Screen shall appear after all assigned sets of repetitions for an exercise are completed.
PD-1289,The Results Screen shall be separated into two different sections that appear one after the other.
PD-1290,The first section shall show the following information regarding completed exercises and performance information:
PD-796,Exercise Name
PD-797,Rating
PD-800,"For tracked exercises, the rating shall be determined based on the number of tips and errors the user triggered during exercise execution."
PD-806,The user shall be assigned a rating of 5 stars if they received no tips and no errors for the entirety of an exercise.
PD-807,"The user shall be assigned a rating of 4 stars if 1%-25% of their reps reported an error, and/or they received tips."
PD-808,The user shall be assigned a rating of 3 stars if 26%-50% of their reps reported an error.
PD-809,The user shall be assigned a rating of 2 stars if 51%-90% of their reps reported an error.
PD-810,The user shall be assigned a rating of 1 star if more than 90% of their reps reported an error.
PD-1283,"For free motion exercises, the rating shall be determined based on the number of reps the patient reported completed versus the number they were assigned to do."
PD-1284,The user shall be assigned a rating of 5 stars if they performed 80%-100% of the reps assigned.
PD-1285,The user shall be assigned a rating of 4 stars if they performed 60%-79% of the reps assigned.
PD-1286,The user shall be assigned a rating of 3 stars if they performed 40%-59% of the reps assigned.
PD-1287,The user shall be assigned a rating of 2 stars if they performed 20%-39% of the reps assigned.
PD-1288,The user shall be assigned a rating of 1 star if they performed less than 20% of the reps assigned.
PD-1291,There shall be a Continue button to move onto the second phase of the Exercise Complete screen.
PD-818,"If exercises remain in the therapy plan, a screen displaying the following options and information for the user will appear:"
PD-811,"The exercise icon in the ""Day View"" plan area shall be highlighted to demonstrate completion."
PD-819,Start Exercise button
PD-820,The next assigned exercise shall begin.
PD-821,Menu button
PD-828,Selecting the Menu button shall pause the timer.
PD-822,The Menu button shall provide the following functions to the user:
PD-823,Skip the next assigned exercise in the therapy plan.
PD-824,Report pain if the user experiences pain during execution of the exercise.
PD-825,End the current exercise session.
PD-826,Return to the current exercise results screen.
PD-829,"If no exercises remain in the therapy plan and all assigned exercises have been completed, the Session Results Screen shall appear."
PD-799,Session Result Screen
PD-856,The Session Result Screen shall appear under the following condition:
PD-857,The user has performed or skipped each exercise in their therapy plan for a given day.
PD-859,The completed exercises in the therapy plan shall be shown under the My Plan timeline.
PD-861,The user shall be provided the following function from the Session Result Screen:
PD-862,Continue button
PD-869,The user shall be able to immediately access the Day View screen.
PD-959,Application Logout
PD-960,The user shall be asked for confirmation of application logout upon selection of the Logout button.
PD-963,"If the user does not confirm that they wish to logout, the prompt shall be dismissed."
PD-962,"If the user confirms that they wish to logout, they shall be logged out and directed back to the application login screen."
,
